# Constructed from biom file
#OTU ID	BillFood4	BillFood5	CarolineMouseFecesD1	CarolineSoilRiverside	DhakeniaMFood2	DhakeniaMSoilCentralPark	JayHumanSkinE2	JaySoilLabSt	KeithMouseFecesE1	KeithSoilRiverside	MattMouseFeces	MattSoilRiverside	OmControl	OmFood1	OmMouseFecesC2	RuichaoFood3	RuichaoHumanSkinD1	VeshHumanSkin	VeshSoilRiverside
k__Pseudomonadati;p__Myxococcota;c__Myxococcota;o__Haliangiales;f__Kofleriaceae;g__Kofleria	0.0	30.0	0.0	0.0	0.0	129.0	0.0	141.0	0.0	352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0
k__Bacillati;p__Actinomycetota;__;__;__;__	0.0	150.0	0.0	243.0	0.0	701.0	0.0	432.0	0.0	1303.0	0.0	355.0	0.0	0.0	0.0	0.0	0.0	0.0	1104.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidibrevibacterium	0.0	0.0	0.0	325.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	363.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Thermodesulfomicrobium	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	249.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.0
k__Pseudomonadati;__;__;__;__;__	0.0	1184.0	0.0	215.0	0.0	4143.0	0.0	1653.0	0.0	1644.0	0.0	322.0	0.0	0.0	0.0	0.0	0.0	0.0	1400.0
k__Bacillati;p__Bacillota;c__Tissierellia;o__Tissierellales;f__Thermohalobacteraceae;g__Brassicibacter	0.0	0.0	0.0	0.0	0.0	454.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Motilibacterales;f__Motilibacteraceae;g__Motilibacter	0.0	29.0	0.0	0.0	0.0	93.0	0.0	70.0	0.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia	0.0	38.0	0.0	0.0	0.0	140.0	0.0	267.0	0.0	241.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Rossellomorea	0.0	0.0	0.0	77.0	0.0	288.0	0.0	135.0	0.0	57.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0
k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;__	0.0	10.0	0.0	8.0	0.0	565.0	0.0	142.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Lacipirellulaceae;g__Pirellulimonas	0.0	33.0	0.0	0.0	0.0	357.0	0.0	3.0	0.0	376.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacillus	0.0	0.0	0.0	234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Thermodesulfobacteriota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella	0.0	0.0	0.0	0.0	0.0	751.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Marinilabiliaceae;g__Alkaliflexus	0.0	0.0	0.0	0.0	0.0	556.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;__	0.0	35.0	0.0	189.0	3.0	61.0	0.0	0.0	0.0	93.0	0.0	242.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0
